-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-6	3
-7	3
-6	3
-6	3
-7	3
-5	2
-5	3
-7	3
-8	5
-6	13
-4	18
-8	12
-15	3
-16	-6
-15	-5
-10	-1
-4	5
-5	15
-7	18
-8	15
-13	15
-12	21
-6	20
-2	23
-2	27
-4	23
-5	21
-4	24
-3	24
-1	25
-1	24
-1	21
0	19
1	17
2	10
-2	-13
-10	-24
-14	-34
-15	-42
-13	-40
-13	-37
-13	-33
-15	-30
-16	-30
-15	-25
-12	-18
-11	-16
-10	-11
-8	-7
-8	-3
-5	12
-4	25
-2	31
0	34
-1	36
-3	35
-3	38
-1	48
3	52
4	46
2	38
-1	29
-5	16
-6	4
-7	-5
-8	-18
-8	-18
-9	-17
-10	-23
-11	-22
-10	-23
-7	-27
-6	-25
-6	-24
-8	-21
-10	-19
-10	-12
-8	-4
-5	6
-4	9
-4	10
-5	9
-5	11
-6	14
-6	14
-6	13
-6	11
-6	8
-5	6
-5	4
-5	2
-6	1
-6	1
-6	2
-6	3
-7	3
-7	3
-6	2
-6	3
-6	3
-6	3
